region,month,x_residual,y_residual,p95_rooftop_mw_raw,deepest_min_demand_raw,beta_p95,p_value,r_squared,n_obs,region_short,region_long
SA1,2022-08-01,-22.789743750001435,-47.64109375000021,1064.025,327.0,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2022-09-01,-35.87051875000088,11.928906249999699,1277.9845,161.15,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2022-10-01,-94.84224375000076,46.258906249999875,1311.882,61.09,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2022-11-01,-36.6186687500001,-13.2460937500001,1427.8769,66.19,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2022-12-01,-5.368868750000502,87.29390625000005,1498.7914999999998,119.6,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-01-01,11.84238124999979,74.56640625000006,1502.9105,210.09,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-02-01,35.721331250000276,-26.076093750000055,1483.77605,87.89,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-03-01,63.62075625000057,23.263906250000204,1447.1475,147.51,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-04-01,113.43245416666696,-86.31406249999961,1310.4189999999999,137.51,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-05-01,23.158254166667348,3.285937500000216,1058.462,403.16,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-06-01,62.20503750000114,-19.584062499999845,938.6447,603.54,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-07-01,44.503587500000435,-93.1807291666662,1057.524,513.47,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-08-01,19.913335416667223,50.35630208333356,1253.7965,349.55,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-09-01,12.468110416667969,-91.49369791666653,1473.39155,-17.72,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-10-01,-4.617664583331816,23.47630208333363,1549.1750000000002,-37.14,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-11-01,-13.31663958333138,7.681302083333665,1598.2473499999999,11.67,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2023-12-01,-72.33728958333154,-1.41869791666619,1578.8915,-44.56,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-01-01,-61.77903958333127,-21.976197916666194,1576.3575,38.1,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-02-01,-12.50073958333087,-2.6586979166662914,1582.6224,35.86,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-03-01,-49.70166458333074,39.60130208333398,1480.8935000000001,88.4,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-04-01,-115.83086666666395,-18.14666666666585,1228.2241000000001,130.23,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-05-01,-15.535666666663928,40.06333333333396,1166.8365,364.49,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-06-01,-3.035433333330161,-23.39666666666608,1020.4726499999999,524.28,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-07-01,46.774166666669316,29.25666666666757,1206.863,560.46,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-08-01,27.561414583336045,-103.5563020833327,1408.513,120.19,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-09-01,47.24053958333661,78.89369791666722,1655.2323999999999,77.22,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-10-01,64.78391458333681,-95.7563020833326,1765.645,-231.82,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-11-01,68.27988958333754,-35.16130208333257,1826.9123,-106.62,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2024-12-01,68.74178958333732,31.188697916667564,1867.039,-87.4,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-01-01,43.97303958333737,25.92119791666757,1829.1779999999999,10.55,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-02-01,-41.478960416662176,-73.54130208333254,1700.7125999999998,-110.47,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-03-01,-61.41258541666207,59.63869791666774,1616.251,32.99,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-04-01,2.3984125000047243,104.4607291666679,1493.5218,177.39,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-05-01,-7.622587499994779,-43.3492708333323,1321.8180000000002,205.63,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-06-01,-59.1696041666612,42.9807291666678,1111.4069,515.21,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-07-01,-91.27775416666191,63.92406250000124,1215.8795,519.68,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-08-01,-24.685006249995013,100.84109375000105,1503.335,249.14,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-09-01,-23.838131249994603,0.6710937500009777,1731.2221499999998,-76.45,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-10-01,34.67599375000577,26.021093750001143,1882.6055000000001,-185.49,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-11-01,-18.34458124999378,40.72609375000118,1887.3562499999998,-106.18,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2025-12-01,8.964368750006088,-117.0639062499987,1954.33,-311.1,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2026-01-01,5.96361875000639,-78.51140624999869,1938.237,-169.33,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2026-02-01,18.258368750006866,102.27609375000124,1907.51835,-10.1,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
SA1,2026-03-01,47.49349375000679,-122.5039062499985,1872.2255,-224.6,-0.33750771027799337,0.007320605763211178,0.9332284205449455,44,SA,South Australia
VIC1,2022-08-01,73.38276249999763,-34.12921875000029,1818.5115,2758.8,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2022-09-01,-46.89697500000102,168.5182812500002,2207.17355,2350.3,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2022-10-01,-75.141737500001,32.50828125000089,2465.4195,2082.75,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2022-11-01,-161.31511250000085,280.1332812500009,2407.5598499999996,2400.48,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2022-12-01,-27.29236250000031,145.97828125000183,2723.4610000000002,1976.53,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-01-01,-63.77011250000032,568.5432812500026,2645.0649999999996,2656.11,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-02-01,-33.42267499999889,6.375781250002547,2629.60725,2507.4,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-03-01,47.281512500000645,67.10578125000393,2525.1814999999997,2472.33,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-04-01,135.86427500000082,-27.959479166662277,2224.91605,2530.08,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-05-01,48.2680916666684,108.36052083333743,1799.1215000000002,2953.17,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-06-01,145.79785833333472,-201.1294791666619,1524.4272,3325.93,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-07-01,150.53259166666726,-602.1628124999961,1790.022,2690.39,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-08-01,5.730337500001042,127.73026041667072,2148.8835,2728.19,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-09-01,36.4173000000028,-254.402239583329,2688.51225,1734.91,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-10-01,-30.1491624999976,-105.44223958332805,2908.4365,1752.33,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-11-01,1.691812500002925,-203.21723958332814,2968.5912,1724.66,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2023-12-01,-68.90178749999632,-181.68223958332692,3079.876,1456.4,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-01-01,-61.80503749999616,-165.32723958332667,3045.0545,1729.77,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-02-01,-2.348549999995157,-166.96473958332626,3058.7058,2141.59,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-03-01,-8.823412499995811,-202.93473958332493,2867.1009999999997,2009.82,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-04-01,-139.27344999999605,213.6100000000083,2347.8027499999994,2579.18,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-05-01,-71.66133333332846,134.2900000000086,2077.2165,2786.63,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-06-01,-64.16021666666188,301.03000000000884,1712.49355,3635.62,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-07-01,45.14016666667089,355.76666666667506,2082.654,3455.85,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-08-01,-136.09158749999506,-258.710260416658,2405.0860000000002,2149.28,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-09-01,77.45962500000587,-121.63276041665813,3127.5789999999997,1675.21,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-10-01,57.475912500006416,-62.99276041665712,3394.0860000000002,1602.31,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-11-01,146.44668750000665,-244.2777604166572,3511.3705,1491.13,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2024-12-01,56.93878750000704,64.07723958334418,3603.741,1509.69,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-01-01,116.18303750000723,-302.4977604166554,3621.067,1400.13,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-02-01,3.2116750000081993,56.23473958334489,3462.29045,2172.32,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-03-01,65.30616250000821,-89.735260416654,3339.255,1930.55,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-04-01,3.4091750000084176,-185.65052083332034,2888.5098000000003,1987.45,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-05-01,23.39324166667575,-242.65052083332057,2570.2955,2217.22,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-06-01,-81.63764166665806,-99.90052083332012,2093.04055,3042.22,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-07-01,-195.67275833332542,246.3961458333465,2239.8655,3154.01,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-08-01,56.978487500008214,165.1092187500126,2996.1805,2380.63,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-09-01,-66.97994999999082,207.51671875001307,3381.1638499999995,1811.89,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-10-01,47.814987500010375,135.92671875001406,3782.4495,1608.76,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-11-01,13.176612500010378,167.36171875001378,3776.12485,1710.3,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2025-12-01,39.255362500010506,-28.373281249984984,3984.082,1224.77,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2026-01-01,9.39211250001108,-100.71828124998456,3912.3005000000003,1409.44,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2026-02-01,32.55955000001177,104.35421875001566,3889.66275,2027.97,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
VIC1,2026-03-01,-103.76426249998804,225.56421875001706,3568.209,2053.38,-1.20155444856689,3.2212035838199564e-05,0.8951016679030063,44,VIC,Victoria
NSW1,2022-08-01,-65.31205078125322,408.96874999999545,2743.6065,5287.63,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2022-09-01,-179.63818828125204,47.03624999999647,3184.4556,4196.88,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2022-10-01,-130.31505078125156,187.96124999999756,3568.1775,4130.43,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2022-11-01,-104.8030757812503,-239.0187500000011,3697.81315,4138.2,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2022-12-01,-251.15742578125037,373.7287499999993,3701.548,4530.54,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-01-01,-145.41330078124975,-435.5962499999996,3697.245,4450.19,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-02-01,15.967049218752436,-53.60624999999982,3801.2835,4604.97,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-03-01,227.02182421875204,144.81125000000247,3773.2214999999997,5023.96,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-04-01,43.374682812502215,-278.8908333333288,3345.9314999999997,3957.32,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-05-01,331.3645494791699,-98.10749999999553,3026.8805,5205.52,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-06-01,223.81213281250348,-161.9641666666621,2695.9276499999996,5642.4,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-07-01,111.48888281250129,-567.7208333333292,2899.66,4890.02,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-08-01,-72.94210026041401,116.77291666667043,3340.3810000000003,4653.4,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-09-01,-11.072387760413221,159.4004166666714,3957.4259499999994,3967.21,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-10-01,19.53439973958757,63.90541666667241,4322.431500000001,3664.34,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-11-01,-118.58007526041092,-122.97458333332588,4288.4407,3912.21,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2023-12-01,-39.33097526041092,252.20291666667435,4517.779,4066.98,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2024-01-01,-57.338850260410254,293.43791666667494,4389.724,4837.19,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2024-02-01,-94.24680026040915,554.5579166666748,4295.4742,4871.1,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
NSW1,2024-03-01,-43.93422526040831,-160.02458333332288,4106.67,4377.09,-0.9966568508616716,0.00011855058234647853,0.8078762775123793,44,NSW,New South Wales
